,dealer,msrp_total,msrp_base,model_title,color,VIN
0,04543,34353.0,34353.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic,4T3RWRFV8MU032726
0,04543,34662.0,34662.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Silver Sky Metallic,JTMRWRFV9MD123646
0,04543,36468.0,36468.0,RAV4 XLE Premium Hybrid AWD,Blizzard Pearl [extra_cost_color],4T3B6RFV6MU055102
0,04543,37613.0,37613.0,RAV4 XLE Premium Hybrid AWD,Midnight Black Metallic,4T3B6RFV1MU055055
0,04284,37536.0,37536.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic/Midnight Black Metallic roof,4T3E6RFV2MU052694
0,04284,43246.0,43246.0,RAV4 Limited Electronic-AWD 2.5L 4-Cyl. Hybrid,Blizzard Pearl [extra_cost_color],4T3D6RFV9MU021311
0,04347,41378.0,41378.0,RAV4 Limited Electronic-AWD 2.5L 4-Cyl. Hybrid,Midnight Black Metallic,4T3D6RFV3MU054529
0,04638,39257.0,39257.0,RAV4 Limited FWD 2.5L 4-Cyl.,Ruby Flare Pearl [extra_cost_color],2T3Y1RFV6MW155063
0,04228,40715.0,40715.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Blizzard Pearl / Midnight Black Metallic roof [extra_cost_color],4T3E6RFVXMU052975
0,04713,34224.0,34224.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic,4T3RWRFV2MU032978
0,04713,37909.0,37909.0,RAV4 XLE Premium Hybrid AWD,Blizzard Pearl [extra_cost_color],JTMB6RFV4MD038800
0,04713,40318.0,40318.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Blizzard Pearl / Midnight Black Metallic roof [extra_cost_color],4T3E6RFVXMU052488
0,04713,40318.0,40318.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Blizzard Pearl / Midnight Black Metallic roof [extra_cost_color],4T3E6RFV4MU054253
0,04737,38840.0,38840.0,RAV4 XLE Premium Hybrid AWD,Blizzard Pearl [extra_cost_color],4T3B6RFV3MU054926
0,04990,39456.0,39456.0,RAV4 XLE Premium Hybrid AWD,Ruby Flare Pearl [extra_cost_color],4T3B6RFV6MU053821
0,04344,32703.0,32703.0,RAV4 XLE Premium FWD 2.5L 4-Cyl.,Blizzard Pearl [extra_cost_color],2T3C1RFV5MW155369
0,04344,39495.0,39495.0,RAV4 XLE Premium Hybrid AWD,Lunar Rock,4T3B6RFV4MU052831
0,04061,39918.0,39918.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic/Midnight Black Metallic roof,JTME6RFVXMD515341
0,04333,36452.0,36452.0,RAV4 XLE Premium Hybrid AWD,Blizzard Pearl [extra_cost_color],4T3B6RFV7MU055089
0,04263,36533.0,36533.0,RAV4 XLE Premium Hybrid AWD,Blizzard Pearl [extra_cost_color],JTMB6RFV8MD039335
0,04456,34663.0,34663.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Lunar Rock,4T3RWRFVXMU033294
0,04456,39192.0,39192.0,RAV4 XLE Premium Hybrid AWD,Blizzard Pearl [extra_cost_color],4T3B6RFVXMU052879
0,04536,40022.0,40022.0,RAV4 Limited FWD 2.5L 4-Cyl.,Blizzard Pearl [extra_cost_color],JTMY1RFV3MD081890
0,04353,37182.0,37182.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic/Midnight Black Metallic roof,4T3E6RFV6MU054917
0,04278,38767.0,38767.0,RAV4 XLE Premium Hybrid AWD,Lunar Rock,4T3B6RFV0MU052826
0,04278,40042.0,40042.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic/Midnight Black Metallic roof,JTME6RFV5MJ008896
0,04278,40467.0,40467.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Blizzard Pearl / Midnight Black Metallic roof [extra_cost_color],4T3E6RFV3MU055118
0,04282,34663.0,34663.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Lunar Rock,4T3RWRFV1MU033507
0,04282,37002.0,37002.0,RAV4 Limited FWD 2.5L 4-Cyl.,Blueprint,2T3Y1RFV5MW168600
0,04282,40367.0,40367.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Blizzard Pearl / Midnight Black Metallic roof [extra_cost_color],4T3E6RFV6MU054321
0,04222,34453.0,34453.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Silver Sky Metallic,JTMRWRFV7MD123029
0,04222,38541.0,38541.0,RAV4 TRD Off-Road TV-AWD 2.5L 4-Cyl.,Lunar Rock/Ice Edge roof [extra_cost_color],2T3S1RFV4MW146996
0,04135,33298.0,33298.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Silver Sky Metallic,4T3RWRFV9MU032623
0,04076,34558.0,34558.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Silver Sky Metallic,JTMRWRFV8MD123959
0,04076,37678.0,37678.0,RAV4 XLE Premium Hybrid AWD,Magnetic Gray Metallic,JTMB6RFV3MD038576
0,04076,37678.0,37678.0,RAV4 XLE Premium Hybrid AWD,Lunar Rock,JTMB6RFV0MD039197
0,04076,38943.0,38943.0,RAV4 XLE Premium Hybrid AWD,Lunar Rock,JTMB6RFV8MD039187
0,04076,39477.0,39477.0,RAV4 Limited FWD 2.5L 4-Cyl.,Silver Sky Metallic,JTMY1RFV9MD079576
0,04076,40483.0,40483.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Blizzard Pearl / Midnight Black Metallic roof [extra_cost_color],JTME6RFV3MD515343
0,04150,32407.0,32407.0,RAV4 XLE Premium FWD 2.5L 4-Cyl.,Lunar Rock,2T3C1RFV4MW168193
0,04150,37002.0,37002.0,RAV4 Limited FWD 2.5L 4-Cyl.,Silver Sky Metallic,2T3Y1RFV5MC156352
0,04150,38492.0,38492.0,RAV4 XLE Premium Hybrid AWD,Magnetic Gray Metallic,4T3B6RFV1MU050938
0,04150,40635.0,40635.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Blizzard Pearl / Midnight Black Metallic roof [extra_cost_color],4T3E6RFV1MU054047
0,04734,31947.0,31947.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Super White,4T3MWRFV1MU033176
0,04734,39031.0,39031.0,RAV4 XLE Premium Hybrid AWD,Lunar Rock,4T3B6RFV4MU050626
0,04215,36720.0,36720.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Silver Sky Metallic/Midnight Black Metallic roof,4T3E6RFV8MU053834
0,04181,33159.0,33159.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Super White,4T3RWRFV8MU032905
0,04273,34752.0,34752.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Silver Sky Metallic,JTMRWRFV7MD122334
0,04221,42022.0,42022.0,RAV4 Limited TV-AWD 2.5L 4-Cyl.,Blizzard Pearl [extra_cost_color],2T3N1RFV8MW219705
0,04426,31379.0,31379.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Midnight Black Metallic,JTMMWRFV8MD125396
0,04426,31379.0,31379.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Midnight Black Metallic,JTMMWRFV8MD125012
